MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000166,Camden 001,E09000007,Camden,179,10,5.60%,3.10%,10.00%,,164,25,15.20%,10.50%,21.50%,,,,,,,,,
E02000167,Camden 002,E09000007,Camden,95,s,s,s,s,,53,s,s,s,s,,,,,,,,,
E02000168,Camden 003,E09000007,Camden,238,13,5.50%,3.20%,9.10%,,171,24,14.00%,9.60%,20.00%,,,,,,,,,
E02000169,Camden 004,E09000007,Camden,88,s,s,s,s,,42,s,s,s,s,,,,,,,,,
E02000170,Camden 005,E09000007,Camden,144,s,s,s,s,,103,13,12.60%,7.50%,20.40%,,,,,,,,,
E02000171,Camden 006,E09000007,Camden,173,14,8.10%,4.90%,13.10%,,148,29,19.60%,14.00%,26.70%,,,,,,,,,
E02000172,Camden 007,E09000007,Camden,317,35,11.00%,8.00%,15.00%,,337,87,25.80%,21.40%,30.70%,,,,,,,,,
E02000173,Camden 008,E09000007,Camden,100,6,6.00%,2.80%,12.50%,,55,s,s,s,s,,,,,,,,,
E02000174,Camden 009,E09000007,Camden,214,19,8.90%,5.80%,13.40%,,234,46,19.70%,15.10%,25.20%,,,,,,,,,
E02000175,Camden 010,E09000007,Camden,174,11,6.30%,3.60%,11.00%,,127,23,18.10%,12.40%,25.70%,,,,,,,,,
E02000176,Camden 011,E09000007,Camden,44,s,s,s,s,,28,s,s,s,s,,,,,,,,,
E02000177,Camden 012,E09000007,Camden,250,34,13.60%,9.90%,18.40%,,257,65,25.30%,20.40%,30.90%,,,,,,,,,
E02000178,Camden 013,E09000007,Camden,203,23,11.30%,7.70%,16.40%,,169,42,24.90%,18.90%,31.90%,,,,,,,,,
E02000179,Camden 014,E09000007,Camden,149,15,10.10%,6.20%,15.90%,,154,28,18.20%,12.90%,25.00%,,,,,,,,,
E02000180,Camden 015,E09000007,Camden,195,13,6.70%,3.90%,11.10%,,172,36,20.90%,15.50%,27.60%,,,,,,,,,
E02000181,Camden 016,E09000007,Camden,117,18,15.40%,10.00%,23.00%,,91,19,20.90%,13.80%,30.30%,,,,,,,,,
E02000182,Camden 017,E09000007,Camden,125,15,12.00%,7.40%,18.90%,,102,21,20.60%,13.90%,29.40%,,,,,,,,,
E02000183,Camden 018,E09000007,Camden,125,16,12.80%,8.00%,19.80%,,119,15,12.60%,7.80%,19.80%,,,,,,,,,
E02000184,Camden 019,E09000007,Camden,239,22,9.20%,6.20%,13.50%,,225,54,24.00%,18.90%,30.00%,,,,,,,,,
E02000185,Camden 020,E09000007,Camden,299,36,12.00%,8.80%,16.20%,,249,55,22.10%,17.40%,27.60%,,,,,,,,,
E02000186,Camden 021,E09000007,Camden,109,11,10.10%,5.70%,17.20%,,85,10,11.80%,6.50%,20.30%,,,,,,,,,
E02000187,Camden 022,E09000007,Camden,326,46,14.10%,10.70%,18.30%,,315,80,25.40%,20.90%,30.50%,,,,,,,,,
E02000188,Camden 023,E09000007,Camden,229,31,13.50%,9.70%,18.60%,,262,76,29.00%,23.80%,34.80%,,,,,,,,,
E02000189,Camden 024,E09000007,Camden,114,15,13.20%,8.10%,20.60%,,120,28,23.30%,16.70%,31.70%,,,,,,,,,
